student_id,study_hours_per_week,attendance_pct,assignment_completion_pct,previous_term_score,internet_quality,parental_support,extra_classes,sleep_hours_per_night,disciplinary_record,final_exam_score,passed
STD20069,11.1,70,52,69,Fair,Medium,1,7.4,0,96,1
STD20070,11.8,64,73,65,Fair,Medium,1,7.2,0,100,1
STD20071,17.5,80,81,52,Good,Low,0,9.5,0,100,1
STD20072,13.6,82,100,72,Good,Medium,1,8.2,0,100,1
STD20073,6.7,90,88,58,Good,High,0,7.5,0,98,1
STD20074,20.1,64,62,43,Poor,Low,1,7.5,0,100,1
STD20075,10.5,68,52,63,Poor,High,1,9.2,0,97,1
STD20076,9.7,98,74,62,Poor,High,1,5.5,0,100,1
STD20077,0.0,74,93,72,Fair,Low,1,6.6,0,82,1
STD20078,15.2,76,74,70,Poor,High,1,4.3,0,100,1
STD20079,12.5,74,88,56,Fair,High,0,7.5,0,100,1
STD20080,12.5,92,75,51,Good,Medium,0,7.9,0,100,1
STD20081,10.0,92,91,58,Good,Low,1,5.5,0,100,1
STD20082,9.1,92,49,63,Good,Medium,0,8.7,0,100,1
STD20083,10.2,76,100,65,Poor,Medium,1,5.9,0,94,1
STD20084,14.3,64,58,63,Fair,Low,0,6.4,0,99,1
STD20085,15.2,100,92,57,Poor,Medium,0,7.0,0,100,1
STD20086,10.8,88,73,73,Fair,High,0,8.9,0,100,1
STD20087,16.7,70,76,48,Fair,Medium,0,5.7,0,100,1
STD20088,11.6,96,74,95,Good,Medium,0,7.2,0,100,1
STD20089,9.5,69,83,69,Fair,High,0,7.8,0,100,1
STD20090,13.0,96,86,41,Fair,Low,1,7.5,0,100,1
STD20091,5.2,97,97,61,Fair,Low,1,7.6,1,94,1
STD20092,13.2,63,100,70,Good,Medium,1,7.8,0,100,1
STD20093,4.3,84,84,53,Poor,Medium,0,6.1,0,88,1
STD20094,6.9,87,100,36,Good,Low,0,9.0,0,85,1
STD20095,1.9,100,80,42,Poor,High,1,6.7,0,86,1
STD20096,11.1,66,97,66,Poor,Low,0,6.5,0,87,1
STD20097,20.0,96,86,32,Good,Medium,0,8.6,1,100,1
STD20098,11.4,76,68,36,Poor,Medium,1,6.0,0,83,1
STD20099,15.2,59,81,66,Good,Medium,0,7.2,0,100,1
STD20100,23.8,74,87,55,Poor,Medium,1,5.9,0,100,1
STD20101,14.0,76,77,48,Fair,Low,0,9.5,0,96,1
STD20102,8.2,61,85,51,Fair,High,0,9.5,0,98,1
STD20103,8.9,80,94,36,Good,High,0,6.7,0,100,1
STD20104,12.0,89,78,65,Good,Medium,1,7.5,0,100,1
STD20105,8.8,79,25,46,Good,Low,1,6.8,0,96,1
STD20106,9.2,68,100,50,Fair,Medium,1,6.3,1,96,1
STD20107,16.9,74,73,63,Poor,Medium,0,7.0,0,95,1
STD20108,17.1,76,63,54,Fair,Low,1,6.7,0,100,1
STD20109,3.8,79,58,47,Fair,Low,1,4.8,0,65,1
STD20110,7.9,92,72,28,Poor,Low,1,7.1,0,89,1
STD20111,9.7,80,68,64,Good,Medium,1,6.7,0,100,1
STD20112,15.0,56,65,59,Fair,Medium,1,7.2,0,100,1
STD20113,17.7,68,66,50,Poor,High,1,6.7,0,100,1
STD20114,25.5,78,88,42,Good,Medium,0,6.3,0,100,1
STD20115,9.7,92,100,58,Fair,Medium,1,7.9,0,100,1
STD20116,9.9,94,93,65,Good,Low,0,7.5,0,100,1
STD20117,14.9,100,98,59,Poor,High,1,8.6,0,100,1
STD20118,8.6,78,71,83,Fair,Low,0,7.4,0,100,1
STD20119,11.3,87,80,69,Fair,Low,0,6.5,0,100,1
STD20120,9.9,56,86,56,Fair,Medium,0,7.6,0,97,1
STD20121,0.0,82,66,69,Good,Medium,0,4.2,0,76,1
STD20122,12.6,61,70,59,Fair,High,0,9.5,0,100,1
STD20123,11.1,75,93,59,Poor,Medium,1,7.2,0,100,1
STD20124,18.4,100,98,77,Poor,Medium,1,9.5,0,100,1
STD20125,12.0,80,79,45,Fair,Medium,0,5.7,0,100,1
STD20126,5.7,64,56,58,Fair,Medium,0,5.3,0,86,1
STD20127,10.7,82,73,76,Good,Medium,1,7.3,1,100,1
STD20128,1.5,69,52,63,Fair,Medium,1,7.3,0,87,1
STD20129,5.9,63,79,52,Poor,Low,0,7.2,0,58,1
STD20130,15.2,100,83,32,Fair,High,1,7.0,0,100,1
STD20131,10.8,91,73,24,Fair,Low,0,6.0,0,73,1
STD20132,16.6,81,82,89,Fair,Low,1,4.9,0,100,1
STD20133,2.2,71,86,63,Good,High,1,7.2,0,100,1
STD20134,10.8,72,83,49,Good,Medium,0,5.1,0,100,1
STD20135,9.6,98,56,63,Good,Medium,0,5.0,0,95,1
STD20136,16.8,80,73,44,Fair,Medium,1,6.3,0,100,1
STD20137,15.4,35,85,53,Poor,Low,0,7.4,0,88,1
STD20138,15.2,100,100,44,Good,High,0,9.4,0,100,1
STD20139,19.7,79,73,37,Fair,Low,0,8.1,1,90,1
STD20140,10.2,81,88,26,Fair,High,1,8.7,0,100,1
STD20141,18.7,91,94,34,Good,Low,0,7.6,0,100,1
STD20142,6.8,83,74,73,Fair,Medium,0,7.3,0,100,1
STD20143,6.6,86,99,43,Good,Medium,1,9.5,0,100,1
STD20144,15.8,70,100,66,Fair,Low,1,5.1,0,100,1
STD20145,4.5,59,100,72,Fair,Medium,0,6.3,0,91,1
STD20146,14.9,80,86,58,Poor,High,0,6.4,0,100,1
STD20147,12.5,96,100,54,Fair,Low,0,8.0,0,100,1
STD20148,17.4,67,67,60,Fair,High,0,5.5,0,100,1
STD20149,11.7,66,100,52,Good,Medium,0,7.8,0,100,1
STD20150,12.3,93,92,76,Good,Medium,0,7.6,0,100,1
STD20151,14.5,70,100,86,Fair,Medium,0,7.9,0,100,1
STD20152,8.7,70,72,80,Fair,Medium,1,7.8,1,98,1
STD20153,8.5,71,93,26,Fair,Medium,0,8.8,0,85,1
STD20154,14.4,75,100,51,Fair,Medium,0,6.7,1,96,1
STD20155,11.9,54,58,58,Good,Medium,1,7.5,0,100,1
STD20156,10.0,68,75,65,Poor,Medium,0,5.8,0,82,1
STD20157,11.6,79,39,32,Good,Medium,1,5.5,0,98,1
STD20158,20.0,79,75,32,Poor,Medium,0,9.1,0,100,1
STD20159,9.8,92,63,78,Poor,Low,0,5.7,0,89,1
STD20160,9.6,100,74,50,Good,Low,0,7.6,0,94,1
STD20161,3.5,97,100,36,Poor,Medium,0,7.5,0,96,1
STD20162,11.8,89,100,41,Fair,High,1,8.3,0,100,1
STD20163,15.3,74,52,64,Poor,Low,0,4.6,0,91,1
STD20164,16.2,67,88,46,Good,Medium,0,8.0,0,100,1
STD20165,12.5,76,92,62,Fair,Low,0,6.7,0,98,1
STD20166,16.8,84,72,43,Poor,Medium,0,6.0,0,100,1
STD20167,15.7,88,81,32,Fair,Medium,0,6.5,1,93,1
STD20168,17.6,85,83,79,Poor,Medium,0,8.1,1,99,1
STD20169,16.9,74,54,64,Good,Medium,0,7.8,0,100,1
STD20170,19.8,87,59,53,Poor,High,1,6.6,0,100,1
STD20171,11.2,94,81,50,Fair,Low,1,5.3,0,100,1
STD20172,5.4,88,80,80,Fair,Medium,0,5.4,0,99,1
STD20173,15.3,76,65,67,Fair,Low,1,7.8,0,100,1
STD20174,15.9,64,64,75,Good,High,0,5.1,0,100,1
STD20175,19.8,64,76,49,Fair,High,0,6.6,0,100,1
STD20176,18.4,66,94,59,Good,Low,1,9.5,0,100,1
STD20177,21.7,80,77,64,Fair,Low,1,7.4,0,100,1
STD20178,15.1,83,100,50,Good,Medium,0,7.8,0,100,1
STD20179,13.1,56,65,57,Fair,High,1,5.4,0,100,1
STD20180,5.1,69,81,49,Fair,Low,1,5.2,0,72,1
STD20181,13.5,79,72,64,Poor,Medium,0,7.8,0,100,1
STD20182,9.2,63,89,38,Poor,Medium,0,6.4,1,76,1
STD20183,13.1,82,64,67,Good,Medium,1,8.3,0,100,1
STD20184,12.3,72,100,63,Good,Medium,1,7.0,1,100,1
STD20185,14.4,66,48,55,Fair,Low,1,9.5,0,95,1
STD20186,11.5,77,100,65,Fair,High,0,6.2,0,100,1
STD20187,16.7,81,80,53,Good,Low,1,7.3,0,100,1
STD20188,0.0,64,88,48,Fair,High,0,5.8,0,84,1
STD20189,12.9,73,100,66,Fair,Low,1,8.3,0,100,1
STD20190,18.0,83,93,67,Good,Medium,1,7.5,0,100,1
STD20191,21.4,65,65,50,Fair,Medium,1,5.7,0,100,1
STD20192,15.7,53,89,49,Fair,Medium,0,6.5,0,100,1
STD20193,20.4,54,100,55,Poor,Low,0,8.7,0,100,1
STD20194,12.8,70,62,50,Poor,Medium,1,8.6,1,94,1
STD20195,12.0,58,100,81,Good,Low,0,5.1,0,97,1
STD20196,14.6,71,85,63,Good,Medium,0,6.3,0,100,1
STD20197,12.0,99,70,58,Good,High,0,9.3,0,100,1
STD20198,8.1,57,62,44,Poor,Medium,1,6.7,0,76,1
STD20199,9.4,72,74,69,Good,Medium,0,7.2,1,90,1
STD20200,6.4,100,43,49,Good,Medium,1,8.3,0,100,1
STD20201,14.6,82,71,48,Fair,Medium,0,5.2,1,95,1
STD20202,12.1,71,73,70,Good,High,1,5.7,0,100,1
STD20203,10.2,74,59,64,Good,Medium,0,6.5,0,100,1
STD20204,9.2,82,91,20,Good,High,0,8.5,0,99,1
STD20205,14.5,100,74,56,Good,High,0,8.3,0,100,1
STD20206,15.9,69,67,60,Fair,Medium,0,7.9,0,100,1
STD20207,6.3,65,72,53,Fair,Medium,1,6.7,0,92,1
STD20208,5.6,57,84,60,Good,Medium,1,8.4,0,100,1
STD20209,16.8,77,79,31,Good,High,1,6.7,0,100,1
STD20210,5.1,56,65,20,Poor,Low,1,7.7,0,69,1
STD20211,14.7,70,80,43,Fair,Low,1,8.1,1,100,1
STD20212,20.1,63,77,62,Fair,Low,1,9.1,0,100,1
STD20213,20.1,91,57,20,Good,High,1,6.9,0,100,1
STD20214,15.7,69,73,45,Fair,Medium,0,6.5,0,98,1
STD20215,15.5,82,88,29,Fair,Low,0,8.6,0,97,1
STD20216,23.3,54,88,54,Fair,Medium,1,8.7,0,100,1
STD20217,0.3,78,74,87,Poor,High,1,6.2,0,97,1
STD20218,9.7,59,90,55,Good,High,0,5.5,0,99,1
STD20219,16.2,70,60,56,Fair,Low,0,8.5,0,100,1
STD20220,10.3,100,61,71,Poor,Medium,1,4.8,0,100,1
STD20221,18.2,89,73,58,Fair,Medium,0,4.7,0,100,1
STD20222,11.8,74,100,55,Good,Medium,0,6.6,0,100,1
STD20223,12.7,100,81,72,Fair,Low,1,6.9,1,100,1
STD20224,10.6,63,73,65,Fair,Low,0,5.4,0,97,1
STD20225,9.4,92,100,62,Fair,High,0,7.1,0,100,1
STD20226,9.3,55,73,56,Good,Medium,0,7.1,0,92,1
STD20227,13.4,73,100,53,Good,Low,0,6.2,0,100,1
STD20228,8.1,57,69,72,Good,Medium,0,9.4,0,97,1
STD20229,16.8,80,60,53,Fair,Low,0,7.4,0,91,1
STD20230,15.3,77,75,76,Good,Medium,1,8.3,0,100,1
STD20231,17.5,72,74,42,Good,Medium,1,4.9,0,100,1
STD20232,6.4,91,63,80,Fair,Low,0,4.9,0,86,1
STD20233,3.5,68,100,65,Good,Low,0,7.4,0,94,1
STD20234,12.0,81,84,43,Good,High,0,9.2,0,100,1
STD20235,26.5,87,86,66,Good,High,0,5.5,0,100,1
STD20236,18.3,55,70,48,Good,Low,0,7.0,1,100,1
STD20237,9.2,66,68,59,Fair,Medium,0,5.2,0,89,1
STD20238,14.1,77,96,51,Fair,Low,0,5.9,0,93,1
STD20239,15.6,85,48,56,Poor,High,1,7.1,0,100,1
STD20240,5.2,96,57,72,Fair,High,0,6.2,0,100,1
STD20241,18.8,73,74,66,Fair,Medium,1,5.1,0,100,1
STD20242,11.2,72,100,41,Fair,Medium,0,5.1,1,90,1
STD20243,11.5,64,71,42,Good,Medium,1,4.3,1,98,1
STD20244,12.1,81,85,62,Poor,Low,0,7.4,0,89,1
STD20245,17.7,72,78,63,Good,Medium,1,7.6,0,100,1
STD20246,8.2,72,100,48,Fair,Low,1,7.6,0,100,1
STD20247,3.5,75,49,82,Poor,Medium,0,5.6,1,62,1
STD20248,13.6,84,91,70,Poor,Medium,0,8.1,0,100,1
STD20249,1.8,68,74,49,Fair,Low,1,7.7,0,76,1
STD20250,10.5,65,95,47,Fair,Medium,1,6.8,0,100,1
STD20251,17.9,82,63,55,Fair,High,1,6.6,0,100,1
STD20252,14.9,35,78,53,Good,Medium,0,6.0,0,100,1
STD20253,17.2,68,76,77,Fair,Medium,0,7.0,0,100,1
STD20254,15.1,60,60,73,Poor,High,0,8.9,0,100,1
STD20255,24.1,93,55,59,Fair,Low,1,8.3,0,100,1
STD20256,9.1,70,68,68,Poor,Medium,0,6.5,0,90,1
STD20257,14.0,68,80,70,Poor,Medium,0,7.5,0,100,1
STD20258,9.8,75,64,59,Poor,Low,1,5.4,0,93,1
STD20259,16.8,68,72,64,Good,High,0,7.7,0,100,1
STD20260,11.7,70,44,67,Good,Medium,1,5.7,0,100,1
STD20261,20.6,77,71,65,Good,Medium,0,7.7,0,100,1
STD20262,9.3,70,96,46,Good,Low,1,9.5,1,93,1
STD20263,19.0,70,91,48,Fair,High,0,6.1,0,100,1
STD20264,15.0,62,76,54,Fair,High,1,9.5,0,100,1
STD20265,11.8,60,82,47,Poor,Low,0,7.4,0,80,1
STD20266,14.7,77,63,36,Fair,Medium,0,5.8,1,90,1
STD20267,13.3,80,100,68,Fair,Low,0,5.8,0,100,1
STD20268,13.8,56,100,63,Fair,Medium,1,9.5,0,100,1
STD20269,11.0,87,81,38,Good,Medium,0,7.4,0,100,1
STD20270,8.5,87,100,54,Poor,Low,0,6.1,0,86,1
STD20271,10.3,90,66,55,Poor,Medium,1,6.5,0,89,1
STD20272,3.6,80,55,61,Good,High,0,7.4,0,100,1
STD20273,16.2,85,65,42,Fair,Medium,0,6.8,0,100,1
STD20274,5.8,100,74,38,Fair,Low,0,7.2,0,84,1
STD20275,10.9,72,100,66,Poor,High,0,9.1,1,100,1
STD20276,15.2,61,73,35,Fair,Low,0,5.3,0,91,1
STD20277,16.2,55,63,55,Good,Medium,0,7.6,0,100,1
STD20278,3.1,100,62,53,Good,Medium,0,6.7,0,99,1
STD20279,11.5,100,99,56,Fair,Low,0,6.2,0,100,1
STD20280,14.3,63,96,62,Fair,Low,1,8.2,0,100,1
STD20281,12.3,66,69,82,Fair,Low,1,4.9,1,100,1
STD20282,18.7,71,44,34,Fair,Low,0,3.7,0,97,1
STD20283,7.9,93,58,71,Fair,Medium,0,7.1,0,98,1
STD20284,1.8,58,100,20,Poor,High,1,6.6,0,64,1
STD20285,16.1,48,90,79,Good,Low,0,5.0,0,100,1
STD20286,9.3,100,79,27,Good,Medium,1,4.6,0,100,1
STD20287,3.2,80,100,95,Good,Medium,0,9.3,1,98,1
STD20288,11.2,82,100,52,Good,Low,0,7.4,0,100,1
STD20289,18.2,73,77,77,Fair,Medium,0,6.8,1,100,1
STD20290,5.7,83,78,74,Good,Low,1,9.5,0,100,1
STD20291,23.7,55,68,51,Good,Medium,0,8.1,0,100,1
STD20292,7.8,64,73,53,Poor,Medium,0,9.1,0,79,1
STD20293,12.4,77,51,45,Fair,Medium,0,5.3,0,96,1
STD20294,5.9,44,51,70,Poor,High,1,5.2,0,79,1
STD20295,12.2,72,47,52,Good,Low,0,7.6,0,83,1
STD20296,11.3,71,98,46,Good,High,1,7.3,0,100,1
STD20297,4.6,72,50,66,Good,Low,0,8.4,0,93,1
STD20298,26.1,68,100,45,Fair,Low,0,4.7,0,100,1
STD20299,9.5,62,65,53,Good,Low,0,7.7,0,98,1
STD20300,9.5,50,100,60,Poor,High,1,8.1,0,100,1
STD20301,16.8,78,71,48,Poor,Medium,0,8.0,0,100,1
STD20302,21.1,72,50,51,Fair,High,0,6.3,0,100,1
STD20303,17.6,57,100,81,Good,Medium,1,7.5,0,100,1
STD20304,6.0,77,100,55,Good,Medium,0,5.8,0,96,1
STD20305,13.1,72,62,53,Fair,High,0,6.4,0,98,1
STD20306,2.6,70,72,55,Fair,High,0,5.4,0,83,1
STD20307,16.5,46,62,65,Fair,High,1,5.8,0,100,1
STD20308,3.8,86,76,42,Poor,Medium,0,6.5,0,66,1
STD20309,8.0,59,80,64,Good,High,1,6.2,0,100,1
STD20310,12.0,77,72,62,Fair,Low,1,5.8,0,100,1
STD20311,14.2,65,45,31,Poor,High,0,5.1,0,83,1
STD20312,10.7,71,68,85,Fair,High,0,9.3,1,100,1
STD20313,19.6,92,91,80,Good,Medium,1,6.1,1,100,1
STD20314,15.6,83,74,46,Good,Low,1,7.2,0,100,1
STD20315,15.2,92,72,41,Poor,Low,1,4.5,1,80,1
STD20316,5.9,81,61,61,Poor,High,0,8.6,0,100,1
STD20317,20.5,82,67,37,Good,High,1,7.0,1,100,1
STD20318,8.0,51,100,78,Fair,Medium,1,6.2,0,100,1
STD20319,20.7,72,57,51,Fair,High,1,6.2,0,100,1
STD20320,22.1,73,91,82,Poor,Medium,0,7.9,0,100,1
STD20321,14.6,93,79,46,Good,High,1,3.5,0,100,1
STD20322,17.2,69,82,56,Good,Low,1,5.7,0,100,1
STD20323,0.0,80,65,77,Poor,Low,1,6.6,0,79,1
STD20324,11.0,79,72,53,Poor,Medium,1,6.6,0,100,1
STD20325,17.5,92,78,62,Poor,Medium,1,9.5,1,96,1
STD20326,16.6,74,69,74,Fair,Medium,0,6.4,0,100,1
STD20327,5.9,88,84,50,Poor,High,0,8.1,0,100,1
STD20328,10.5,52,86,39,Fair,Low,0,9.2,0,79,1
STD20329,0.0,53,100,36,Poor,Medium,1,7.7,1,61,1
STD20330,14.1,44,83,67,Fair,Low,0,5.9,0,93,1
STD20331,2.6,87,44,64,Fair,High,1,5.1,0,100,1
STD20332,17.7,85,99,74,Fair,Low,1,7.8,0,100,1
STD20333,17.9,89,74,54,Good,Medium,1,8.9,0,100,1
STD20334,9.6,67,100,37,Fair,Medium,1,7.5,0,100,1
STD20335,14.6,68,100,23,Good,Medium,1,8.4,0,100,1
STD20336,10.9,74,69,95,Good,Low,0,9.5,0,100,1
STD20337,13.2,96,91,66,Good,Low,0,7.9,0,100,1
STD20338,6.3,100,67,60,Poor,Medium,0,5.4,0,89,1
STD20339,15.1,87,78,62,Fair,Low,1,6.9,0,100,1
STD20340,3.8,81,90,37,Fair,Low,0,8.6,1,83,1
STD20341,2.9,95,98,46,Poor,Medium,0,6.5,0,77,1
STD20342,11.4,72,94,84,Poor,Low,1,8.8,0,96,1
STD20343,10.9,71,79,68,Poor,Low,0,6.7,0,84,1
STD20344,13.4,74,100,47,Fair,Medium,1,7.2,0,100,1
STD20345,8.8,62,71,40,Good,Medium,0,6.3,0,87,1
STD20346,21.4,74,49,50,Fair,Medium,1,7.0,1,100,1
STD20347,12.8,60,53,53,Good,Medium,0,7.1,0,100,1
STD20348,13.2,90,100,89,Good,Medium,1,4.7,0,100,1
STD20349,13.0,84,77,55,Poor,Medium,1,6.2,0,98,1
STD20350,17.0,96,81,40,Fair,Medium,0,5.2,0,100,1
STD20351,14.9,53,68,57,Poor,Low,0,6.3,0,90,1
STD20352,14.2,100,70,62,Good,Medium,1,5.8,0,100,1
STD20353,15.7,54,64,39,Good,Medium,0,8.1,0,100,1
STD20354,2.9,59,86,64,Good,High,1,8.1,0,100,1
STD20355,3.1,67,76,76,Good,Medium,0,7.5,0,100,1
STD20356,11.6,94,86,60,Fair,Medium,1,5.2,0,100,1
STD20357,11.0,79,84,46,Good,Medium,0,6.7,0,100,1
STD20358,14.9,73,70,50,Good,High,1,5.0,0,100,1
STD20359,12.1,65,52,33,Good,Medium,0,6.6,0,92,1
STD20360,14.9,57,50,56,Fair,Medium,0,7.6,0,100,1
STD20361,5.8,92,100,63,Poor,High,0,8.1,0,100,1
STD20362,11.9,87,100,45,Poor,Medium,1,7.4,0,100,1
STD20363,5.3,95,100,87,Poor,Medium,1,8.4,0,100,1
STD20364,13.9,82,66,70,Fair,Low,1,7.1,0,100,1
STD20365,2.6,39,78,31,Good,Low,1,6.5,0,68,1
STD20366,13.7,59,63,31,Good,High,1,7.9,0,100,1
STD20367,4.7,83,54,43,Poor,Low,0,8.0,0,64,1
STD20368,10.1,71,67,82,Fair,Low,1,6.1,0,100,1
STD20369,16.5,68,100,71,Poor,Low,0,7.3,0,100,1
STD20370,13.1,61,93,82,Good,High,0,6.4,0,100,1
STD20371,3.8,89,61,58,Good,Medium,1,4.2,0,93,1
STD20372,8.6,82,72,55,Fair,Medium,1,7.4,0,99,1
STD20373,4.5,83,91,39,Fair,High,0,5.1,0,84,1
STD20374,3.5,67,68,63,Fair,Medium,0,7.2,1,71,1
STD20375,12.6,78,79,55,Fair,High,1,4.8,0,100,1
STD20376,14.8,57,85,54,Poor,Medium,1,5.9,0,100,1
STD20377,14.2,74,85,82,Fair,Medium,0,6.2,0,100,1
STD20378,15.0,41,83,56,Fair,High,1,8.4,0,100,1
STD20379,11.9,54,66,78,Fair,High,0,6.1,0,100,1
STD20380,10.6,71,68,34,Fair,Low,0,5.4,0,82,1
STD20381,6.6,100,58,95,Good,Low,1,7.3,0,100,1
STD20382,9.8,51,50,52,Fair,High,0,6.5,0,88,1
STD20383,5.4,59,76,69,Fair,Medium,1,7.8,0,100,1
STD20384,7.8,79,93,71,Good,Medium,0,5.5,0,100,1
STD20385,12.4,100,53,51,Fair,Low,1,7.1,0,100,1
STD20386,11.4,79,83,70,Fair,High,0,9.5,0,100,1
STD20387,27.3,86,92,71,Poor,Medium,1,6.5,0,100,1
STD20388,5.3,71,45,47,Good,High,1,7.0,0,100,1
STD20389,11.4,69,73,47,Fair,Medium,0,4.6,0,85,1
STD20390,4.9,77,100,59,Poor,High,1,5.7,0,100,1
STD20391,10.1,67,88,56,Poor,Medium,0,7.4,0,76,1
STD20392,10.3,86,44,79,Good,Medium,0,6.4,0,100,1
STD20393,16.2,54,90,69,Good,Medium,1,7.6,1,100,1
STD20394,9.8,88,65,57,Good,Medium,1,7.4,0,100,1
STD20395,11.0,77,90,67,Fair,Medium,1,5.1,0,100,1
STD20396,9.8,73,66,27,Fair,Low,1,8.1,0,90,1
STD20397,5.0,53,77,49,Fair,Medium,0,5.2,0,82,1
STD20398,8.7,62,68,62,Fair,Medium,0,5.8,0,96,1
STD20399,10.1,93,78,75,Fair,Low,0,7.1,0,100,1
STD20400,12.4,73,68,61,Fair,Medium,0,8.8,0,100,1
STD20401,14.8,80,74,80,Good,Medium,1,5.5,0,100,1
STD20402,10.8,64,57,71,Fair,Low,0,7.0,0,88,1
STD20403,10.7,76,87,51,Fair,Medium,0,7.0,0,99,1
STD20404,3.4,57,81,56,Good,Low,0,7.7,0,80,1
STD20405,14.7,77,49,64,Good,High,0,8.3,0,100,1
STD20406,8.5,81,96,51,Fair,High,1,6.3,1,94,1
STD20407,15.7,80,75,81,Good,Medium,0,8.1,0,100,1
STD20408,18.6,63,81,41,Poor,Medium,1,8.5,0,94,1
